VID,AdvNet,AnonPaymnt,AttSpam,ChildPriv,IPResell,DirMark,Card#Stolen,Unlisted#Phone,ConcerSec,ConcerSecEcom,InfImprovSite,IntPrivLaws,IntShop#LifeEasy,MassMails,AssumeAliases,SpamPolicy,PrivCom,SecAFactor,UseDemoOther,UserContDemo,ValueAnon,Important,Will#Charge
339,NEITHER,ASOME,Delete,NEITHER,DSOME,ASOME,No,No,Very,Somewhat,DSOME,ASTRON,Yes,DSOME,ASOME,GovControl,ASOME,Significant,DSTRON,ASTRON,ASTRON,Convenience,Yes
340,DSTRON,?,Other,ASOME,DSOME,DSTRON,No,No,Alittle,Alittle,ASOME,ASOME,Yes,DSTRON,ASOME,Registry,ASTRON,Significant,DSOME,ASOME,ASTRON,Privacy,Yes
341,DSTRON,NEITHER,Delete,NEITHER,DSTRON,DSOME,No,Yes,Very,Very,DSTRON,ASOME,No,DSTRON,ASTRON,Registry,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,Yes
342,NEITHER,ASTRON,Other,DSTRON,NEITHER,NEITHER,Yes,Yes,Very,Somewhat,DSOME,DSTRON,Yes,NEITHER,ASTRON,Nothing,ASTRON,Significant,NEITHER,ASTRON,ASTRON,Privacy,Yes
343,DSOME,ASTRON,Delete,ASTRON,DSTRON,DSOME,No,No,Very,Somewhat,ASOME,ASTRON,Yes,DSTRON,ASTRON,Fee,ASTRON,Significant,DSTRON,ASTRON,ASTRON,Privacy,Yes
344,DSTRON,ASTRON,Delete,NEITHER,DSTRON,DSOME,No,No,Very,Very,ASTRON,NEITHER,Yes,DSTRON,ASOME,Fee,ASTRON,Significant,DSOME,ASOME,ASTRON,Privacy,Yes
345,NEITHER,ASOME,Delete,NEITHER,DSTRON,DSTRON,Yes,No,Somewhat,Alittle,DSOME,ASOME,Yes,DSTRON,NEITHER,?,ASTRON,Small,DSTRON,ASTRON,ASOME,Privacy,Yes
346,NEITHER,ASTRON,Delete,DSTRON,DSTRON,ASOME,No,No,Very,Very,ASOME,ASTRON,Yes,DSOME,ASTRON,Blacklist,ASTRON,Significant,DSTRON,ASTRON,ASTRON,Privacy,Yes
347,DSTRON,ASTRON,Delete,DSTRON,DSTRON,DSTRON,No,Yes,Very,Very,DSTRON,ASTRON,Yes,DSTRON,NEITHER,GovControl,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,Yes
348,DSOME,ASOME,Delete,NEITHER,NEITHER,DSTRON,No,No,Somewhat,Very,ASOME,ASTRON,Yes,DSTRON,DSOME,Blacklist,ASTRON,Significant,DSTRON,ASTRON,ASTRON,Privacy,Yes
349,DSOME,?,Delete,ASOME,DSOME,DSOME,No,No,Very,Very,ASOME,ASOME,Yes,DSTRON,ASOME,Registry,ASTRON,Significant,NEITHER,ASTRON,NEITHER,Privacy,Yes
350,DSTRON,ASTRON,Delete,NEITHER,DSTRON,DSTRON,No,No,Alittle,Alittle,NEITHER,ASTRON,Yes,DSTRON,DSTRON,Registry,ASTRON,Significant,DSTRON,ASTRON,ASTRON,Convenience,Yes
351,DSTRON,ASOME,Reply,NEITHER,DSTRON,DSTRON,No,No,Alittle,Very,ASOME,ASOME,Yes,DSTRON,DSTRON,Registry,ASTRON,Deciding,DSTRON,ASTRON,NEITHER,Privacy,Yes
352,DSOME,NEITHER,?,ASTRON,NEITHER,NEITHER,No,No,NotAtAll,NotAtAll,NEITHER,NEITHER,Yes,NEITHER,NEITHER,Other,NEITHER,Small,DSOME,NEITHER,ASOME,Convenience,Yes
353,DSOME,ASTRON,Delete,DSTRON,DSTRON,DSTRON,No,No,Very,Very,?,ASTRON,Yes,DSTRON,?,GovControl,ASTRON,Significant,DSTRON,ASTRON,ASTRON,Privacy,Yes
354,DSOME,NEITHER,Reply,DSOME,DSOME,DSOME,No,No,Somewhat,Alittle,ASOME,DSTRON,No,DSOME,ASOME,Fee,NEITHER,Small,NEITHER,ASOME,ASOME,Convenience,Yes
355,DSTRON,NEITHER,Delete,NEITHER,DSTRON,DSTRON,No,No,Alittle,Alittle,NEITHER,DSTRON,Yes,DSTRON,ASOME,Fee,ASOME,Significant,DSTRON,ASTRON,ASOME,Privacy,Yes
356,DSTRON,NEITHER,Delete,NEITHER,DSTRON,DSTRON,Yes,Yes,Very,Very,ASOME,ASOME,Yes,DSTRON,NEITHER,Registry,ASTRON,Significant,DSTRON,ASTRON,ASTRON,Privacy,Yes
357,DSTRON,ASTRON,Delete,DSOME,ASOME,ASOME,Yes,No,Very,Somewhat,ASOME,DSTRON,Yes,DSTRON,ASTRON,Fee,ASTRON,Significant,DSOME,ASTRON,ASTRON,Privacy,Yes
358,ASOME,ASOME,Delete,DSTRON,DSTRON,NEITHER,No,Yes,Alittle,Alittle,ASOME,ASTRON,Yes,NEITHER,ASOME,Blacklist,ASTRON,Significant,DSTRON,ASOME,ASTRON,Privacy,Yes
359,DSTRON,?,Delete,ASTRON,DSTRON,DSTRON,No,No,Very,Very,ASOME,ASOME,No,DSTRON,?,Registry,ASTRON,None,DSTRON,ASTRON,?,Privacy,No
360,DSTRON,?,Delete,NEITHER,DSTRON,DSOME,No,No,Very,Very,ASOME,ASOME,Yes,DSTRON,ASOME,Other,ASTRON,Significant,DSTRON,ASTRON,ASOME,Convenience,No
361,DSTRON,?,?,DSTRON,DSTRON,DSTRON,No,No,Very,Very,DSTRON,DSTRON,Yes,DSTRON,ASTRON,Nothing,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,Yes
362,ASTRON,ASTRON,Delete,DSTRON,ASOME,DSOME,No,No,Somewhat,Somewhat,ASTRON,DSOME,Yes,DSTRON,ASTRON,Fee,ASTRON,Significant,ASTRON,ASTRON,ASTRON,Convenience,Yes
363,ASTRON,ASTRON,?,ASTRON,DSTRON,?,No,Yes,Somewhat,Somewhat,DSOME,ASTRON,Yes,?,ASOME,Registry,ASTRON,Small,DSOME,ASTRON,ASTRON,Privacy,Yes
364,DSTRON,NEITHER,Reply,ASOME,ASOME,DSTRON,No,No,Somewhat,Somewhat,ASTRON,ASOME,Yes,DSTRON,ASOME,Blacklist,ASTRON,Significant,ASOME,ASOME,ASOME,Convenience,Yes
365,DSTRON,NEITHER,Delete,ASOME,DSOME,DSTRON,No,No,Somewhat,Very,ASOME,DSTRON,Yes,DSTRON,NEITHER,Blacklist,ASTRON,Significant,DSTRON,NEITHER,NEITHER,Privacy,Yes
366,ASTRON,ASTRON,Delete,ASTRON,DSTRON,DSTRON,No,Yes,Somewhat,Somewhat,DSTRON,ASTRON,Yes,DSTRON,ASTRON,Other,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,Yes
367,DSTRON,ASTRON,Delete,ASTRON,DSTRON,DSTRON,No,No,Very,Very,DSOME,NEITHER,No,DSTRON,DSTRON,Registry,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,No
368,DSTRON,?,Delete,ASTRON,DSTRON,ASOME,No,No,Very,Very,ASTRON,ASOME,Yes,ASOME,?,Registry,ASTRON,Significant,DSTRON,ASOME,ASOME,Privacy,Yes
369,DSTRON,ASTRON,Other,ASOME,DSTRON,DSOME,No,No,Alittle,Alittle,ASOME,ASTRON,Yes,DSTRON,ASOME,GovControl,ASTRON,Significant,DSOME,ASTRON,ASTRON,Convenience,Yes
370,DSTRON,ASOME,Delete,ASTRON,DSTRON,DSTRON,No,No,NotAtAll,NotAtAll,NEITHER,ASOME,Yes,DSTRON,?,Registry,ASTRON,Small,DSTRON,ASTRON,ASTRON,Convenience,No
371,DSTRON,NEITHER,Reply,ASTRON,DSTRON,DSTRON,No,Yes,Very,Very,NEITHER,ASOME,No,DSTRON,NEITHER,Blacklist,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,No
372,DSTRON,ASOME,Delete,ASTRON,DSTRON,ASOME,No,No,Somewhat,Very,ASOME,ASOME,Yes,DSOME,ASOME,Fee,ASTRON,Deciding,ASOME,ASTRON,ASTRON,Privacy,No
373,DSOME,?,Delete,DSOME,ASOME,DSTRON,Yes,No,Somewhat,Somewhat,ASOME,DSOME,Yes,DSTRON,ASOME,Blacklist,ASTRON,Significant,ASOME,DSOME,ASOME,Privacy,Yes
374,DSTRON,NEITHER,?,DSOME,DSTRON,DSTRON,No,Yes,Very,Very,NEITHER,ASTRON,Yes,DSTRON,NEITHER,Other,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,No
375,DSOME,ASTRON,Delete,DSTRON,DSTRON,DSOME,No,No,Very,Somewhat,ASOME,ASTRON,Yes,DSTRON,ASTRON,Fee,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,Yes
376,NEITHER,ASOME,Delete,ASOME,DSTRON,DSTRON,No,Yes,Very,Very,ASOME,ASOME,Yes,DSTRON,NEITHER,Blacklist,ASTRON,Significant,DSTRON,ASTRON,ASTRON,Privacy,Yes
377,DSOME,ASOME,Delete,DSTRON,ASOME,DSOME,No,No,Very,Very,ASOME,ASOME,Yes,DSTRON,ASTRON,Other,ASTRON,Significant,ASOME,ASOME,ASTRON,Privacy,Yes
378,DSTRON,ASTRON,Delete,ASTRON,DSTRON,ASOME,No,No,Somewhat,Very,DSOME,ASOME,No,DSTRON,ASTRON,Registry,ASOME,Significant,DSOME,ASOME,ASTRON,Convenience,Yes
379,DSOME,ASOME,Reply,ASTRON,DSTRON,DSTRON,Yes,Yes,Somewhat,Somewhat,DSOME,ASTRON,No,DSTRON,DSTRON,Blacklist,ASTRON,Significant,DSTRON,ASTRON,ASOME,Privacy,Yes
380,DSTRON,NEITHER,?,DSOME,DSTRON,ASOME,No,No,Alittle,Very,ASOME,NEITHER,Yes,ASOME,ASOME,Other,ASTRON,Significant,DSTRON,ASTRON,ASOME,Convenience,Yes
381,NEITHER,NEITHER,Delete,ASOME,ASOME,ASOME,No,Yes,Alittle,Alittle,ASOME,DSTRON,Yes,DSOME,DSOME,Registry,NEITHER,Small,ASOME,NEITHER,ASOME,Convenience,Yes
382,DSTRON,?,Reply,DSTRON,DSTRON,DSTRON,No,No,Very,Very,DSTRON,ASTRON,Yes,DSTRON,ASTRON,Blacklist,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,Yes
383,DSTRON,ASTRON,Delete,ASTRON,DSTRON,DSTRON,No,No,Alittle,Alittle,ASOME,NEITHER,Yes,DSTRON,ASOME,Registry,ASTRON,Small,DSTRON,ASTRON,ASTRON,Privacy,Yes
384,DSTRON,ASOME,Reply,ASOME,DSTRON,DSOME,No,Yes,Very,Very,NEITHER,?,No,DSTRON,NEITHER,Blacklist,ASTRON,Small,DSTRON,ASTRON,ASTRON,Privacy,Yes
385,DSTRON,?,?,DSTRON,DSTRON,DSOME,No,No,Somewhat,Very,ASOME,DSTRON,Yes,?,ASOME,?,ASTRON,Significant,ASOME,ASTRON,ASTRON,Privacy,Yes
386,DSTRON,ASTRON,Delete,ASOME,DSTRON,NEITHER,No,Yes,Very,Very,ASTRON,ASTRON,No,DSOME,ASTRON,Registry,ASTRON,None,DSTRON,DSTRON,ASTRON,Privacy,No
387,DSTRON,ASTRON,Other,ASTRON,DSTRON,ASOME,No,No,Alittle,NotAtAll,ASTRON,DSOME,Yes,DSTRON,ASTRON,Other,ASTRON,Significant,ASOME,ASTRON,ASTRON,Privacy,Yes
388,DSOME,ASOME,?,ASTRON,DSOME,DSTRON,No,No,Very,Very,NEITHER,ASTRON,Yes,DSTRON,DSOME,?,ASOME,Significant,DSTRON,ASOME,ASOME,Privacy,No
389,NEITHER,NEITHER,Delete,ASTRON,NEITHER,DSTRON,Yes,No,Somewhat,Very,ASOME,ASTRON,No,DSTRON,ASOME,Registry,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Convenience,No
390,NEITHER,NEITHER,Delete,NEITHER,NEITHER,NEITHER,Yes,No,NotAtAll,Somewhat,ASOME,DSTRON,Yes,NEITHER,ASOME,Nothing,ASOME,Small,ASTRON,ASOME,NEITHER,Convenience,Yes
391,DSTRON,NEITHER,Reply,DSTRON,DSTRON,DSTRON,No,No,Very,Very,DSTRON,ASOME,Yes,DSTRON,ASOME,GovControl,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,Yes
392,DSTRON,?,Delete,?,DSTRON,DSTRON,No,No,Very,Very,DSOME,ASTRON,Yes,DSTRON,ASOME,Registry,ASTRON,Deciding,DSTRON,ASOME,ASTRON,Privacy,Yes
393,DSTRON,ASOME,Delete,NEITHER,DSTRON,DSTRON,No,No,Very,Very,ASTRON,ASTRON,No,DSTRON,NEITHER,Registry,ASTRON,Significant,DSTRON,ASTRON,ASOME,Privacy,No
394,DSTRON,ASTRON,Read,ASTRON,DSOME,DSTRON,No,No,Very,Somewhat,ASOME,ASOME,Yes,DSTRON,NEITHER,Registry,ASTRON,Significant,DSTRON,ASTRON,ASTRON,Privacy,Yes
395,DSTRON,ASTRON,Delete,NEITHER,DSTRON,DSTRON,No,Yes,Very,Very,NEITHER,ASOME,Yes,DSTRON,ASTRON,Registry,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,Yes
396,DSTRON,ASOME,Delete,ASTRON,DSTRON,DSOME,No,No,Very,Somewhat,DSOME,ASTRON,No,DSTRON,ASOME,Blacklist,ASTRON,Small,DSTRON,ASOME,ASOME,Privacy,Yes
397,DSTRON,NEITHER,Delete,DSTRON,DSTRON,ASOME,No,No,Very,Very,ASOME,ASOME,Yes,ASOME,ASTRON,Blacklist,ASOME,Deciding,DSTRON,ASTRON,ASTRON,Privacy,Yes
398,DSTRON,ASTRON,Delete,ASOME,DSTRON,DSTRON,Yes,No,Very,Very,ASOME,ASTRON,Yes,DSTRON,ASOME,GovControl,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,No
399,DSTRON,NEITHER,Other,NEITHER,NEITHER,ASTRON,No,Yes,NotAtAll,Alittle,ASTRON,NEITHER,No,NEITHER,ASTRON,?,NEITHER,Small,ASTRON,ASTRON,ASOME,Privacy,Yes
400,DSTRON,NEITHER,Delete,ASOME,DSTRON,DSTRON,No,Yes,Very,Very,NEITHER,ASOME,No,DSTRON,ASTRON,Blacklist,ASTRON,Significant,DSTRON,ASTRON,ASTRON,Privacy,Yes
401,DSOME,NEITHER,Delete,DSTRON,DSOME,DSOME,No,No,Alittle,Alittle,NEITHER,NEITHER,Yes,DSOME,DSOME,?,NEITHER,Small,DSOME,ASOME,NEITHER,Convenience,Yes
402,DSTRON,?,Other,DSOME,DSTRON,DSTRON,Yes,No,Very,Somewhat,DSOME,ASTRON,Yes,DSTRON,ASTRON,Fee,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,Yes
403,DSTRON,ASTRON,Delete,ASOME,DSTRON,DSTRON,No,No,Very,Very,NEITHER,ASTRON,Yes,DSTRON,ASTRON,GovControl,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,Yes
404,ASOME,NEITHER,Delete,ASTRON,DSTRON,?,No,No,Very,Very,ASTRON,ASTRON,Yes,DSTRON,ASTRON,Registry,NEITHER,Deciding,NEITHER,ASTRON,ASTRON,Privacy,No
405,NEITHER,ASTRON,Delete,ASTRON,ASOME,ASOME,No,Yes,NotAtAll,Alittle,ASTRON,DSTRON,Yes,ASOME,ASTRON,Blacklist,ASTRON,Small,ASOME,ASTRON,ASTRON,Convenience,Yes
406,DSOME,DSOME,Delete,ASOME,DSOME,DSOME,No,Yes,Somewhat,Somewhat,ASOME,DSOME,Yes,DSTRON,ASOME,Registry,ASTRON,Significant,ASOME,ASOME,ASTRON,Privacy,Yes
407,DSTRON,ASTRON,Delete,DSTRON,NEITHER,DSTRON,Yes,No,Very,Very,ASOME,DSOME,Yes,DSTRON,ASTRON,Other,ASTRON,Significant,NEITHER,ASTRON,ASTRON,Privacy,Yes
408,DSTRON,?,Delete,DSTRON,DSTRON,DSTRON,No,No,Somewhat,Very,DSOME,ASOME,No,DSTRON,ASTRON,?,?,Significant,DSTRON,ASTRON,ASTRON,Convenience,No
409,DSTRON,ASOME,?,NEITHER,DSTRON,DSOME,No,No,Somewhat,Somewhat,ASOME,ASTRON,Yes,DSOME,?,Registry,ASOME,Deciding,DSTRON,ASTRON,ASOME,Privacy,No
410,DSTRON,NEITHER,Delete,ASTRON,DSTRON,NEITHER,No,Yes,Alittle,Alittle,ASOME,ASTRON,Yes,DSOME,ASOME,Registry,ASTRON,Significant,DSTRON,ASOME,NEITHER,Privacy,Yes
411,NEITHER,NEITHER,Reply,NEITHER,NEITHER,NEITHER,No,No,Very,Very,NEITHER,DSTRON,No,NEITHER,NEITHER,Blacklist,NEITHER,Significant,NEITHER,NEITHER,NEITHER,Privacy,No
412,DSTRON,NEITHER,Delete,ASOME,DSTRON,DSTRON,No,No,Somewhat,Somewhat,ASOME,ASOME,Yes,DSTRON,ASTRON,Blacklist,ASTRON,Significant,DSTRON,ASTRON,ASTRON,Privacy,Yes
413,DSTRON,NEITHER,Delete,ASTRON,DSTRON,DSTRON,Yes,No,Somewhat,Alittle,DSTRON,DSTRON,Yes,DSTRON,DSTRON,Fee,ASTRON,Deciding,DSTRON,ASTRON,ASOME,Convenience,Yes
414,DSOME,NEITHER,Delete,DSOME,DSTRON,DSTRON,No,No,Somewhat,Very,ASOME,ASOME,Yes,DSOME,?,Registry,ASOME,Deciding,DSTRON,ASTRON,ASOME,Privacy,No
415,DSTRON,?,Delete,ASTRON,DSTRON,DSOME,No,No,Very,Very,DSOME,ASOME,No,DSTRON,?,Registry,ASTRON,Significant,DSTRON,ASTRON,ASTRON,Privacy,No
416,DSOME,ASOME,Other,ASOME,ASOME,DSOME,No,No,Somewhat,Somewhat,ASOME,ASTRON,Yes,DSTRON,NEITHER,Fee,ASTRON,Significant,ASOME,ASTRON,ASOME,Convenience,Yes
417,DSTRON,ASTRON,Retaliate,DSTRON,DSTRON,DSTRON,Yes,No,Very,Very,DSTRON,ASTRON,No,DSTRON,ASTRON,Blacklist,ASOME,Deciding,DSTRON,ASTRON,ASTRON,Privacy,Yes
418,NEITHER,ASOME,Delete,ASTRON,NEITHER,DSTRON,No,No,Alittle,Alittle,NEITHER,NEITHER,Yes,DSTRON,ASOME,Blacklist,ASTRON,Small,NEITHER,ASTRON,ASTRON,Convenience,Yes
419,DSTRON,NEITHER,?,DSTRON,DSTRON,DSTRON,Yes,Yes,Very,Very,DSTRON,ASTRON,Yes,DSTRON,NEITHER,Registry,NEITHER,Deciding,DSTRON,ASTRON,ASTRON,Privacy,Yes
420,DSTRON,ASTRON,Delete,NEITHER,DSTRON,DSTRON,No,Yes,Very,Very,ASOME,NEITHER,No,DSOME,NEITHER,Other,ASTRON,Significant,DSTRON,ASTRON,ASOME,Privacy,Yes
421,NEITHER,NEITHER,Delete,ASTRON,NEITHER,ASOME,No,Yes,ShouldButNo,Somewhat,ASTRON,ASOME,Yes,DSTRON,NEITHER,Registry,DSTRON,Significant,ASOME,ASOME,ASTRON,Convenience,Yes
422,DSTRON,ASTRON,Delete,ASTRON,DSTRON,DSTRON,No,No,Very,Very,DSTRON,ASTRON,Yes,DSTRON,ASTRON,GovControl,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,Yes
423,DSTRON,ASOME,?,ASTRON,DSTRON,ASOME,Yes,No,Alittle,Alittle,ASOME,ASOME,Yes,DSOME,ASOME,Blacklist,ASTRON,Significant,DSTRON,ASTRON,ASOME,Convenience,Yes
424,DSTRON,ASTRON,Delete,ASOME,DSTRON,DSTRON,No,No,ShouldButNo,Very,DSTRON,ASOME,No,DSTRON,NEITHER,Registry,ASTRON,Deciding,DSTRON,ASTRON,ASOME,Convenience,No
425,DSOME,ASOME,Delete,ASTRON,DSTRON,NEITHER,No,Yes,Somewhat,Very,ASOME,ASTRON,No,DSTRON,DSTRON,GovControl,ASTRON,Significant,DSTRON,ASTRON,ASOME,Privacy,No
426,DSOME,ASOME,Delete,DSTRON,DSTRON,DSOME,No,No,Very,Somewhat,NEITHER,NEITHER,Yes,DSOME,ASOME,Other,ASTRON,Significant,DSOME,ASTRON,ASTRON,Privacy,Yes
427,DSTRON,NEITHER,Delete,DSTRON,DSTRON,DSTRON,No,No,Alittle,Somewhat,ASOME,DSOME,Yes,DSTRON,DSOME,Other,ASTRON,Small,DSTRON,ASTRON,ASOME,Convenience,Yes
428,DSOME,NEITHER,Delete,ASTRON,DSOME,DSOME,No,No,Somewhat,Somewhat,ASOME,DSOME,Yes,DSTRON,DSOME,Registry,ASTRON,Small,ASOME,ASOME,ASOME,Privacy,No
429,DSTRON,?,Delete,ASTRON,DSTRON,DSTRON,No,No,Somewhat,Very,ASOME,NEITHER,Yes,DSTRON,DSOME,Blacklist,ASTRON,Significant,DSTRON,ASTRON,ASTRON,Privacy,Yes
430,DSTRON,ASOME,Delete,ASTRON,DSTRON,DSTRON,Yes,No,Very,Somewhat,ASOME,ASOME,Yes,DSTRON,ASOME,Registry,ASTRON,Small,DSOME,ASOME,ASTRON,Convenience,Yes
431,NEITHER,ASTRON,Delete,NEITHER,DSTRON,DSOME,No,No,Alittle,Alittle,ASOME,ASTRON,Yes,DSTRON,ASTRON,Registry,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,No
432,DSTRON,ASOME,Other,NEITHER,DSTRON,DSTRON,No,No,Somewhat,Very,ASOME,NEITHER,No,DSTRON,NEITHER,GovControl,ASTRON,Significant,DSTRON,ASTRON,ASOME,Privacy,Yes
433,DSTRON,ASTRON,Retaliate,ASTRON,DSTRON,DSTRON,No,No,Very,Very,DSTRON,DSTRON,Yes,DSTRON,ASTRON,GovControl,ASTRON,Small,DSTRON,ASTRON,ASTRON,Privacy,Yes
434,ASOME,NEITHER,Reply,ASTRON,DSTRON,NEITHER,No,No,Somewhat,Alittle,ASTRON,ASTRON,Yes,DSTRON,DSTRON,Blacklist,ASTRON,Small,NEITHER,ASTRON,ASTRON,Privacy,Yes
435,DSOME,ASOME,Delete,DSOME,DSOME,DSOME,No,Yes,Very,Somewhat,DSOME,ASOME,Yes,DSTRON,?,Registry,ASTRON,Deciding,DSOME,ASTRON,ASOME,Privacy,Yes
436,DSTRON,ASOME,Delete,DSOME,DSOME,DSOME,No,Yes,Somewhat,Very,ASOME,ASOME,Yes,DSOME,ASTRON,?,ASTRON,Significant,DSOME,ASTRON,ASTRON,Privacy,Yes
437,DSTRON,ASTRON,Delete,ASOME,DSOME,DSOME,No,No,ShouldButNo,Somewhat,NEITHER,DSTRON,Yes,DSTRON,ASOME,Blacklist,ASTRON,Deciding,DSOME,ASTRON,ASOME,Privacy,Yes
438,DSTRON,ASTRON,Delete,ASTRON,DSTRON,DSTRON,Yes,Yes,Very,Very,ASOME,ASTRON,Yes,DSTRON,NEITHER,Fee,ASTRON,Significant,DSTRON,ASTRON,ASTRON,Convenience,Yes
439,DSOME,DSOME,?,ASTRON,DSTRON,DSOME,No,No,Somewhat,Very,ASOME,NEITHER,Yes,DSTRON,ASOME,Registry,ASTRON,Significant,ASOME,ASTRON,ASTRON,Privacy,Yes
440,DSOME,ASTRON,Delete,ASOME,DSTRON,DSOME,Yes,Yes,Very,Alittle,ASOME,ASTRON,Yes,DSTRON,ASTRON,Registry,ASTRON,Significant,DSTRON,ASTRON,ASTRON,Privacy,Yes
441,DSTRON,DSTRON,?,DSTRON,DSTRON,DSTRON,Yes,Yes,Very,Very,ASOME,DSOME,Yes,DSTRON,ASTRON,Other,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,No
442,DSTRON,ASTRON,Other,ASOME,DSTRON,DSTRON,No,No,Somewhat,Somewhat,ASOME,ASOME,No,DSTRON,ASOME,GovControl,ASTRON,Significant,DSTRON,ASTRON,ASTRON,Privacy,No
443,DSTRON,NEITHER,Delete,ASTRON,DSOME,DSTRON,No,No,Very,Very,DSTRON,ASTRON,Yes,DSTRON,NEITHER,Fee,ASOME,Significant,DSOME,ASOME,ASOME,Privacy,Yes
444,DSTRON,ASOME,?,NEITHER,DSTRON,DSTRON,No,Yes,Somewhat,Very,DSOME,ASOME,Yes,DSOME,ASTRON,Nothing,ASTRON,Significant,DSTRON,ASTRON,ASTRON,Privacy,Yes
445,DSOME,ASTRON,Delete,NEITHER,DSOME,DSTRON,Yes,No,Very,Alittle,ASOME,DSTRON,Yes,DSTRON,ASTRON,Blacklist,ASTRON,Significant,DSTRON,ASOME,ASTRON,Privacy,Yes
446,DSOME,NEITHER,Delete,NEITHER,DSOME,ASOME,Yes,Yes,Somewhat,Very,NEITHER,DSOME,No,NEITHER,NEITHER,Registry,NEITHER,Small,DSTRON,ASOME,NEITHER,Privacy,Yes
447,DSTRON,?,Delete,ASTRON,DSTRON,DSTRON,Yes,No,Very,Very,ASOME,ASTRON,Yes,DSTRON,?,Registry,ASTRON,Significant,DSTRON,ASTRON,ASOME,Privacy,Yes
448,DSTRON,NEITHER,Delete,ASTRON,DSOME,NEITHER,Yes,No,Very,Somewhat,?,ASTRON,Yes,DSTRON,DSOME,Registry,ASTRON,Significant,NEITHER,ASTRON,ASTRON,Privacy,Yes
449,DSOME,NEITHER,Delete,ASOME,ASOME,DSOME,Yes,No,Somewhat,Very,ASOME,NEITHER,Yes,DSOME,ASTRON,Other,ASTRON,Significant,DSTRON,ASTRON,ASTRON,Privacy,Yes
450,DSTRON,ASTRON,Delete,ASOME,DSTRON,DSOME,No,No,Somewhat,Very,NEITHER,ASOME,Yes,DSOME,ASTRON,Blacklist,ASTRON,Significant,DSTRON,ASTRON,ASTRON,Convenience,Yes
451,DSTRON,ASTRON,Delete,NEITHER,DSOME,NEITHER,Yes,Yes,Very,Very,ASOME,ASOME,Yes,DSOME,ASOME,Registry,ASTRON,Deciding,DSTRON,NEITHER,ASOME,Privacy,No
452,DSTRON,ASTRON,Delete,ASOME,DSTRON,DSTRON,No,No,Alittle,Somewhat,ASOME,ASOME,No,DSTRON,ASTRON,Fee,ASTRON,Significant,DSTRON,ASOME,ASTRON,Convenience,Yes
453,DSTRON,ASTRON,Other,ASOME,DSTRON,DSOME,No,Yes,Very,Very,ASOME,ASOME,No,DSTRON,ASTRON,GovControl,ASTRON,Deciding,DSOME,ASTRON,ASTRON,Privacy,Yes
454,DSTRON,ASOME,Delete,ASOME,DSOME,DSOME,No,No,Somewhat,Alittle,DSOME,ASOME,Yes,DSTRON,ASOME,Blacklist,ASTRON,Small,DSOME,ASOME,ASTRON,Privacy,Yes
455,DSTRON,NEITHER,Delete,DSTRON,DSOME,DSOME,No,No,Very,Somewhat,ASOME,ASTRON,Yes,DSOME,NEITHER,Blacklist,ASTRON,Deciding,ASOME,ASTRON,ASTRON,Privacy,Yes
456,NEITHER,?,Delete,DSTRON,?,ASOME,No,No,Somewhat,Somewhat,ASOME,NEITHER,Yes,DSTRON,ASTRON,Other,ASTRON,Significant,ASOME,DSOME,ASTRON,Convenience,Yes
457,DSTRON,?,Read,ASTRON,DSTRON,DSTRON,No,No,Very,Very,ASOME,ASTRON,Yes,DSTRON,?,Registry,ASTRON,Deciding,DSOME,ASTRON,NEITHER,Privacy,No
458,DSTRON,DSOME,Delete,ASTRON,DSOME,DSTRON,No,Yes,Alittle,Alittle,ASOME,ASOME,Yes,DSTRON,ASOME,Other,ASTRON,Significant,ASOME,ASTRON,ASOME,Privacy,Yes
459,DSTRON,ASTRON,Delete,ASTRON,DSTRON,DSTRON,No,Yes,Very,Very,DSTRON,ASTRON,No,DSTRON,ASTRON,GovControl,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,Yes
460,DSTRON,ASTRON,Delete,ASTRON,DSTRON,DSTRON,No,No,Very,Very,NEITHER,ASTRON,Yes,DSTRON,ASTRON,GovControl,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,Yes
