This is part of the Online Privacy and Security dataset from the
Graphic, Visualization, & Usability Center's (GVU) 10th WWW User
Survey.  Please see the file GVU_Survey_Copyright_Notice for the
conditions under which this dataset can be used and/or distributed.


Advertising Networks,Anonymous Payment Systems,Attitudes Towards Spamming,Childrens Privacy,Content Providers have Right to Resell User Information,Direct Marketing,Had Credit Card Number Stolen,Have Unlisted Phone Number,How Concerned about Security,How Concerned about Security for ECommerce,Information about Users Improves Marketing of Site,Internet Privacy Laws,Internet Shopping and Banking Make Life Easier,Mass Emailings,Ought to be able to Assume Different Aliases/Roles on the Internet,Policies Towards Spamming,Privacy of Communications,Security a Factor in Online Business,Use of Demographic Information in Other Mediums,Users Ought to Have Complete Control of Demographic Info,Value Anonymous Nature of Internet,Which is More Important,Willing to Use Credit Card on Web
Disagree Strongly,Neither Agree or Disagree,Delete,Neither Agree or Disagree,Disagree Strongly,Neither Agree or Disagree,Yes,Yes,Very,Very,Neither Agree or Disagree,Agree Strongly,Yes,Disagree Strongly,Neither Agree or Disagree,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Neither Agree or Disagree,Agree Strongly,Privacy,Yes
Disagree Somewhat,Agree Somewhat,Delete,Agree Strongly,Neither Agree or Disagree,Disagree Strongly,No,No,A little,A little,Neither Agree or Disagree,Neither Agree or Disagree,Yes,Disagree Strongly,Neither Agree or Disagree,Registry,Agree Strongly,A deciding factor,Neither Agree or Disagree,Agree Somewhat,Agree Strongly,Privacy,Yes
Disagree Somewhat,Neither Agree or Disagree,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Impact Fee,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Neither Agree or Disagree,Agree Strongly,Delete,Neither Agree or Disagree,Disagree Somewhat,Disagree Somewhat,No,No,Very,Somewhat,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Somewhat,Impact Fee,Agree Strongly,A deciding factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Delete,Agree Strongly,Disagree Strongly,Disagree Somewhat,No,Yes,Very,Somewhat,Neither Agree or Disagree,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Government Controls,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Delete,Disagree Strongly,Disagree Strongly,Agree Strongly,No,No,Very,Very,Agree Somewhat,Agree Somewhat,Yes,Disagree Somewhat,Agree Strongly,Other,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Somewhat,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,Yes,Yes,A little,Not at all,Disagree Strongly,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Blacklist,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Somewhat,Retaliate,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,No,A little,Very,Disagree Strongly,Agree Somewhat,Yes,Disagree Strongly,Agree Strongly,Blacklist,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Somewhat,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,Yes,Yes,Very,Very,Agree Strongly,Agree Strongly,Yes,Disagree Strongly,Neither Agree or Disagree,Impact Fee,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,Agree Strongly,Other,Agree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,Disagree Strongly,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Government Controls,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,Agree Strongly,Delete,Disagree Strongly,Disagree Strongly,Disagree Strongly,Yes,No,Very,Very,Agree Strongly,Agree Somewhat,Yes,Disagree Strongly,Agree Strongly,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Somewhat,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Somewhat,Delete,Agree Strongly,Disagree Strongly,Disagree Somewhat,Yes,No,Very,Very,Disagree Somewhat,Agree Strongly,Yes,Disagree Strongly,Neither Agree or Disagree,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Somewhat,Agree Somewhat,Privacy,No
Disagree Strongly,Neither Agree or Disagree,Delete,Disagree Somewhat,Disagree Strongly,Disagree Strongly,Yes,No,Very,Somewhat,Agree Strongly,Agree Strongly,No,Disagree Strongly,Neither Agree or Disagree,Registry,Agree Strongly,A small factor,Disagree Strongly,Agree Strongly,Neither Agree orDisagree,Convenience,No
Disagree Somewhat,Neither Agree or Disagree,Delete,Agree Somewhat,Agree Strongly,Disagree Somewhat,Yes,No,Not at all,Somewhat,Agree Somewhat,Disagree Strongly,Yes,Disagree Strongly,Disagree Somewhat,Registry,Neither Agree or Disagree,A significant factor,Agree Strongly,Agree Strongly,Neither Agree or Disagree,Convenience,Yes
Disagree Somewhat,Disagree Somewhat,Delete,No Opinion,Disagree Somewhat,Neither Agree or Disagree,No,No,Somewhat,Somewhat,Disagree Somewhat,Disagree Somewhat,Yes,Neither Agree or Disagree,Disagree Somewhat,Impact Fee,Agree Somewhat,A significant factor,Disagree Somewhat,Neither Agree or Disagree,Agree Somewhat,Privacy,Yes
Disagree Strongly,Disagree Strongly,Not App,Agree Strongly,Disagree Strongly,Neither Agree or Disagree,No,Yes,Somewhat,Very,Disagree Strongly,Agree Strongly,Yes,Disagree Strongly,Agree Somewhat,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Convenience,No
Disagree Strongly,Agree Strongly,Delete,Agree Strongly,Disagree Somewhat,Disagree Somewhat,Yes,No,Very,Somewhat,Agree Somewhat,Disagree Strongly,Yes,Disagree Somewhat,Agree Somewhat,Registry,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Somewhat,Neither Agree or Disagree,Reply,Agree Strongly,Disagree Strongly,Disagree Strongly,Yes,No,Somewhat,Very,Disagree Somewhat,Disagree Somewhat,No,Disagree Strongly,Neither Agree or Disagree,Registry,Neither Agree or Disagree,A small factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,Agree Strongly,Retaliate,Disagree Strongly,Disagree Somewhat,Disagree Strongly,No,No,Somewhat,Not at all,Disagree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Strongly,Other,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,Yes
Neither Agree or Disagree,Neither Agree or Disagree,Read,Neither Agree or Disagree,Neither Agree or Disagree,Agree Somewhat,No,No,A little,A little,Agree Strongly,Agree Somewhat,Yes,Agree Somewhat,Agree Strongly,Nothing,Agree Strongly,A small factor,Agree Somewhat,Agree Somewhat,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Delete,Agree Somewhat,Disagree Somewhat,Disagree Strongly,No,No,Very,Somewhat,Neither Agree or Disagree,Neither Agree or Disagree,Yes,Disagree Strongly,Agree Strongly,Government Controls,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Reply,Agree Strongly,Disagree Strongly,Disagree Strongly,Yes,Yes,Very,Somewhat,Neither Agree or Disagree,Agree Strongly,Yes,Disagree Strongly,Agree Somewhat,Nothing,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Somewhat,Agree Strongly,Delete,Neither Agree or Disagree,Disagree Strongly,Disagree Strongly,No,No,Somewhat,Somewhat,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Impact Fee,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Delete,Neither Agree or Disagree,Disagree Strongly,Neither Agree or Disagree,No,No,Somewhat,A little,Disagree Somewhat,Neither Agree or Disagree,Yes,Disagree Strongly,Neither Agree or Disagree,Registry,Agree Strongly,A deciding factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Not App,No Opinion,Disagree Strongly,Disagree Strongly,No,No,Somewhat,Somewhat,Neither Agree or Disagree,Disagree Somewhat,No,Disagree Strongly,Neither Agree or Disagree,Registry,Agree Strongly,A small factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Neither Agree or Disagree,Agree Somewhat,Delete,Disagree Somewhat,Agree Somewhat,Disagree Somewhat,No,No,Very,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Disagree Somewhat,Registry,Agree Strongly,A significant factor,Agree Somewhat,Agree Somewhat,Agree Strongly,Privacy,Yes
Disagree Somewhat,Agree Strongly,Delete,Disagree Strongly,Disagree Strongly,Agree Somewhat,No,No,Somewhat,Somewhat,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Registry,Agree Somewhat,A deciding factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Somewhat,Agree Somewhat,Delete,Agree Somewhat,Disagree Strongly,Disagree Somewhat,Yes,No,Very,Very,Disagree Strongly,Agree Strongly,Yes,Disagree Strongly,Neither Agree or Disagree,Other,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Neither Agree or Disagree,Privacy,Yes
Disagree Strongly,No Opinion,Delete,Agree Strongly,Disagree Strongly,Neither Agree or Disagree,No,No,A little,A little,Disagree Somewhat,Agree Somewhat,Yes,Disagree Strongly,No Opinion,Blacklist,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,Yes
Disagree Strongly,No Opinion,Not App,Neither Agree or Disagree,Disagree Somewhat,Disagree Somewhat,No,No,Somewhat,Somewhat,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Disagree Strongly,Registry,Agree Strongly,A small factor,Disagree Somewhat,Agree Somewhat,Disagree Somewhat,Privacy,Yes
Disagree Somewhat,Neither Agree or Disagree,Delete,Neither Agree or Disagree,Disagree Somewhat,Agree Somewhat,Yes,No,A little,A little,Agree Somewhat,Agree Strongly,Yes,Disagree Somewhat,Agree Somewhat,Blacklist,Agree Somewhat,A small factor,Neither Agree or Disagree,Agree Strongly,Agree Somewhat,Convenience,Yes
Disagree Strongly,Agree Strongly,Delete,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,No,Not at all,Not at all,Disagree Somewhat,Neither Agree or Disagree,Yes,Disagree Strongly,Agree Strongly,Impact Fee,Agree Strongly,A small factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,Yes
Disagree Strongly,Agree Strongly,Delete,Neither Agree or Disagree,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Disagree Strongly,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Registry,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Neither Agree or Disagree,Agree Somewhat,Delete,Neither Agree or Disagree,Neither Agree or Disagree,Disagree Somewhat,No,No,Somewhat,Somewhat,Agree Somewhat,Disagree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Registry,Agree Strongly,A small factor,Agree Somewhat,Agree Somewhat,Agree Somewhat,Convenience,Yes
Disagree Strongly,Agree Somewhat,Delete,Neither Agree or Disagree,Disagree Strongly,Disagree Strongly,Yes,Yes,Very,Very,Agree Somewhat,Agree Somewhat,No,Disagree Strongly,Agree Strongly,Registry,Agree Strongly,A deciding factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Reply,Agree Strongly,Disagree Somewhat,Disagree Somewhat,No,Yes,Very,Very,Agree Somewhat,Agree Somewhat,Yes,Disagree Somewhat,Agree Somewhat,Impact Fee,Agree Strongly,A deciding factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Somewhat,Not App,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,Disagree Somewhat,Agree Strongly,Yes,Disagree Strongly,Disagree Somewhat,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Disagree Somewhat,Privacy,No
Disagree Strongly,Neither Agree or Disagree,Delete,Disagree Somewhat,Disagree Somewhat,Disagree Strongly,No,No,Somewhat,Somewhat,Disagree Strongly,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Privacy,Yes
Disagree Strongly,Disagree Strongly,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,Yes,Yes,Very,Very,Disagree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Neither Agree or Disagree,Other,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Disagree Strongly,Privacy,Yes
Disagree Strongly,No Opinion,Not App,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Neither Agree or Disagree,Agree Somewhat,No,Neither Agree or Disagree,No Opinion,Don't Know,Agree Strongly,A deciding factor,Disagree Strongly,No Opinion,Agree Somewhat,Privacy,No
Disagree Somewhat,Agree Somewhat,Delete,Agree Somewhat,Agree Somewhat,Disagree Somewhat,No,No,Not at all,Very,Agree Somewhat,Disagree Strongly,Yes,Disagree Somewhat,No Opinion,Blacklist,Agree Strongly,A deciding factor,Agree Somewhat,Agree Strongly,No Opinion,Convenience,Yes
Disagree Strongly,Disagree Somewhat,Other,Disagree Strongly,Disagree Strongly,Disagree Strongly,Yes,Yes,Very,Very,Disagree Strongly,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Blacklist,Agree Strongly,A deciding factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Other,Agree Somewhat,Disagree Somewhat,Disagree Somewhat,No,No,Very,Somewhat,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Government Controls,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Somewhat,Agree Strongly,Retaliate,Disagree Strongly,Disagree Somewhat,Agree Somewhat,No,No,A little,"Should be, but not",No Opinion,Neither Agree or Disagree,Yes,Disagree Strongly,Agree Somewhat,Registry,Agree Strongly,A small factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Convenience,No
Disagree Strongly,Neither Agree or Disagree,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Neither Agree or Disagree,Agree Strongly,No,Disagree Strongly,Agree Strongly,Registry,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Disagree Strongly,Delete,Agree Somewhat,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,Neither Agree or Disagree,Neither Agree or Disagree,Yes,Disagree Strongly,Disagree Somewhat,Government Controls,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Somewhat,Agree Strongly,Delete,Agree Somewhat,Agree Somewhat,Disagree Somewhat,No,No,Very,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Registry,Agree Strongly,A deciding factor,Agree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Delete,Agree Strongly,Disagree Strongly,Agree Somewhat,No,No,Somewhat,Very,Agree Somewhat,Neither Agree or Disagree,Yes,Disagree Strongly,Neither Agree or Disagree,Blacklist,Agree Strongly,A deciding factor,Disagree Somewhat,Agree Strongly,Neither Agree or Disagree,Convenience,Yes
Disagree Strongly,Agree Somewhat,Other,Agree Strongly,Disagree Strongly,Disagree Somewhat,Yes,No,Somewhat,A little,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Somewhat,Government Controls,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Privacy,Yes
Disagree Somewhat,Neither Agree or Disagree,Not App,Agree Strongly,Disagree Strongly,Neither Agree or Disagree,No,Yes,Very,Somewhat,Neither Agree or Disagree,Agree Strongly,Yes,Disagree Strongly,Neither Agree or Disagree,Registry,Agree Strongly,A deciding factor,Disagree Somewhat,Agree Strongly,Neither Agree or Disagree,Privacy,Yes
Disagree Somewhat,Agree Strongly,Delete,Agree Strongly,Disagree Somewhat,Agree Strongly,No,No,Very,Somewhat,Agree Somewhat,Agree Somewhat,Yes,Disagree Somewhat,Agree Somewhat,Blacklist,Agree Strongly,A deciding factor,Agree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Somewhat,Neither Agree or Disagree,Not App,Agree Somewhat,Disagree Strongly,Disagree Strongly,No,No,Very,Somewhat,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Government Controls,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,No Opinion,Delete,Agree Somewhat,Neither Agree or Disagree,Disagree Strongly,No,No,Very,Very,Agree Somewhat,Agree Somewhat,No,Disagree Strongly,Disagree Strongly,Other,Agree Strongly,A deciding factor,Disagree Strongly,Neither Agree or Disagree,Agree Somewhat,Privacy,Yes
Disagree Strongly,No Opinion,Delete,Neither Agree or Disagree,Disagree Strongly,Disagree Strongly,No,No,Somewhat,Somewhat,Neither Agree or Disagree,Disagree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Impact Fee,Agree Strongly,A small factor,Disagree Strongly,Neither Agree or Disagree,Agree Strongly,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Delete,Agree Strongly,Agree Somewhat,Disagree Somewhat,No,No,Somewhat,Very,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Strongly,Registry,Agree Strongly,A small factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Not App,Neither Agree or Disagree,Neither Agree or Disagree,Disagree Strongly,No,Yes,Somewhat,Somewhat,Agree Strongly,Neither Agree or Disagree,Yes,Disagree Strongly,Agree Strongly,Nothing,Agree Strongly,A small factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Delete,Neither Agree or Disagree,Neither Agree or Disagree,Disagree Somewhat,No,No,Somewhat,Very,Agree Somewhat,Agree Somewhat,No,Disagree Strongly,Agree Somewhat,Registry,Agree Strongly,A significant factor,Neither Agree or Disagree,Agree Somewhat,Agree Strongly,Privacy,Yes
Neither Agree or Disagree,Neither Agree or Disagree,Delete,Agree Strongly,Disagree Strongly,Neither Agree or Disagree,No,Yes,A little,A little,Agree Strongly,Agree Somewhat,Yes,Disagree Strongly,Neither Agree or Disagree,Blacklist,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Privacy,Yes
Disagree Strongly,Agree Somewhat,Not App,Agree Somewhat,Disagree Strongly,Disagree Strongly,No,No,Very,Somewhat,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Government Controls,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Somewhat,Agree Somewhat,Read,Agree Somewhat,Disagree Somewhat,Agree Somewhat,Yes,No,Not at all,Somewhat,Agree Somewhat,Agree Somewhat,Yes,Neither Agree or Disagree,Neither Agree or Disagree,Registry,Agree Strongly,A small factor,Disagree Somewhat,Agree Strongly,Agree Somewhat,Convenience,Yes
Agree Strongly,Agree Strongly,Delete,Agree Strongly,Disagree Strongly,Neither Agree or Disagree,No,No,Very,Not at all,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Government Controls,Agree Strongly,A deciding factor,Neither Agree or Disagree,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Other,No Opinion,Disagree Strongly,Disagree Somewhat,No,Yes,Very,Very,Disagree Somewhat,Disagree Somewhat,Yes,Disagree Strongly,Agree Strongly,Nothing,Agree Strongly,A deciding factor,No Opinion,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Somewhat,No Opinion,Delete,Agree Somewhat,Disagree Strongly,Agree Somewhat,No,No,Somewhat,Somewhat,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Government Controls,Agree Strongly,A small factor,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Convenience,Yes
Disagree Somewhat,No Opinion,Delete,Agree Strongly,Disagree Strongly,Disagree Somewhat,Yes,Yes,Very,Very,Agree Somewhat,Disagree Somewhat,Yes,Disagree Somewhat,Neither Agree or Disagree,Don't Know,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Reply,Agree Strongly,Disagree Strongly,Disagree Strongly,Yes,No,Very,Very,Disagree Strongly,Agree Strongly,Yes,Disagree Strongly,Neither Agree or Disagree,Government Controls,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Somewhat,Agree Somewhat,Delete,Neither Agree or Disagree,Disagree Strongly,Disagree Strongly,No,No,Somewhat,A little,Disagree Strongly,Agree Somewhat,Yes,Disagree Strongly,Agree Strongly,Registry,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,Yes
Neither Agree or Disagree,Agree Strongly,Delete,Agree Somewhat,Disagree Somewhat,Disagree Strongly,No,No,"Should be, but not",Somewhat,Agree Somewhat,No Opinion,No,Disagree Strongly,Agree Somewhat,Government Controls,Agree Strongly,A small factor,Disagree Strongly,Neither Agree or Disagree,Agree Strongly,Convenience,Yes
Disagree Somewhat,Agree Somewhat,Delete,Neither Agree or Disagree,Disagree Somewhat,Neither Agree or Disagree,Yes,No,A little,Somewhat,Agree Somewhat,Agree Somewhat,Yes,Disagree Somewhat,Agree Somewhat,Registry,Agree Strongly,A significant factor,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Privacy,Yes
Disagree Strongly,Agree Somewhat,Delete,Disagree Somewhat,Disagree Strongly,Disagree Somewhat,No,No,Very,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Somewhat,Government Controls,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Neither Agree or Disagree,Privacy,Yes
Disagree Somewhat,Agree Strongly,Reply,Agree Strongly,Neither Agree or Disagree,Disagree Strongly,No,Yes,Very,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Neither Agree or Disagree,Registry,Agree Somewhat,A significant factor,Neither Agree or Disagree,Agree Somewhat,Agree Somewhat,Privacy,Yes
Neither Agree or Disagree,Neither Agree or Disagree,Retaliate,Agree Strongly,Disagree Strongly,Disagree Somewhat,No,No,Very,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Somewhat,Agree Somewhat,Blacklist,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,No
Disagree Somewhat,Agree Strongly,Not App,Agree Strongly,Agree Somewhat,Disagree Strongly,Yes,No,Very,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Neither Agree or Disagree,Registry,Agree Strongly,A significant factor,Neither Agree or Disagree,Agree Strongly,Agree Strongly,Privacy,No
Neither Agree or Disagree,Agree Somewhat,Delete,Agree Strongly,Neither Agree or Disagree,Agree Somewhat,No,No,Very,Very,Agree Strongly,Neither Agree or Disagree,Yes,Disagree Somewhat,Neither Agree or Disagree,Registry,Agree Strongly,A significant factor,Neither Agree or Disagree,Agree Somewhat,Agree Strongly,Convenience,Yes
Disagree Strongly,Agree Strongly,Delete,Disagree Somewhat,No Opinion,Disagree Strongly,No,No,Somewhat,Very,Agree Somewhat,Agree Strongly,No,Disagree Strongly,Agree Somewhat,Other,Agree Somewhat,A significant factor,No Opinion,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Somewhat,Delete,Agree Somewhat,Agree Somewhat,Disagree Somewhat,No,No,Somewhat,Somewhat,Agree Somewhat,Disagree Strongly,Yes,Disagree Strongly,Agree Strongly,Blacklist,Agree Somewhat,A deciding factor,Neither Agree or Disagree,Disagree Somewhat,Agree Strongly,Convenience,Yes
Disagree Strongly,No Opinion,Not App,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,No,A little,Very,Disagree Strongly,Agree Somewhat,No,Disagree Strongly,Agree Strongly,Impact Fee,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Disagree Somewhat,Privacy,No
Neither Agree or Disagree,Agree Strongly,Reply,Agree Somewhat,Disagree Strongly,Disagree Somewhat,No,No,Very,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Neither Agree or Disagree,Blacklist,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Convenience,Yes
No Opinion,Agree Somewhat,Delete,Disagree Strongly,Disagree Somewhat,Agree Somewhat,No,No,Somewhat,Very,Agree Somewhat,Agree Somewhat,No,Disagree Somewhat,Neither Agree or Disagree,Nothing,Agree Somewhat,A significant factor,Agree Strongly,Agree Somewhat,Agree Strongly,Privacy,No
Disagree Strongly,Agree Strongly,Delete,Neither Agree or Disagree,Disagree Strongly,Disagree Strongly,No,No,A little,Somewhat,Disagree Strongly,Agree Strongly,No,Disagree Strongly,Agree Strongly,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,No Opinion,Delete,Disagree Strongly,Disagree Strongly,Agree Somewhat,No,No,Very,Very,Disagree Strongly,Disagree Strongly,Yes,Disagree Strongly,Agree Strongly,Blacklist,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Somewhat,Reply,Agree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,Neither Agree or Disagree,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Registry,Agree Somewhat,A deciding factor,Disagree Strongly,Agree Somewhat,Agree Somewhat,Privacy,Yes
Neither Agree or Disagree,Neither Agree or Disagree,Reply,Agree Strongly,Disagree Strongly,Neither Agree or Disagree,No,Yes,Very,Very,Agree Somewhat,Agree Strongly,Yes,Neither Agree or Disagree,Neither Agree or Disagree,Government Controls,Neither Agree or Disagree,A deciding factor,Disagree Strongly,Agree Strongly,Neither Agree or Disagree,Privacy,Yes
Disagree Strongly,No Opinion,Delete,Disagree Strongly,Disagree Strongly,Disagree Strongly,Yes,No,Somewhat,Very,Neither Agree or Disagree,Neither Agree or Disagree,Yes,Disagree Strongly,No Opinion,Nothing,Agree Somewhat,A deciding factor,Disagree Strongly,Agree Strongly,No Opinion,Privacy,No
Neither Agree or Disagree,No Opinion,Reply,Disagree Somewhat,Agree Strongly,No Opinion,No,No,Somewhat,Very,Agree Somewhat,Agree Strongly,Yes,Agree Somewhat,Disagree Somewhat,Impact Fee,Neither Agree or Disagree,A deciding factor,Agree Somewhat,Disagree Somewhat,Disagree Somewhat,Convenience,No
Disagree Somewhat,Disagree Strongly,Delete,Disagree Strongly,Disagree Strongly,Disagree Strongly,Yes,No,Not at all,A little,Agree Somewhat,Disagree Strongly,Yes,Disagree Strongly,Disagree Strongly,Nothing,Disagree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Disagree Strongly,Convenience,Yes
